Title,Original Price,Current Price
Saldētas zemenes piena un baltajā šokolādē BOUJEE 140g,"4,99€",3.49
Saldēti pelmeņi ar kimči BULDAK 700g,"9,99€",6.99
"Gāzēts dzēriens Melons. SANGARIA 0,5L D","2,99€",1.99
Krekeri Snap'd Double Cheese CHEEZ IT 120g,"3,99€",2.99
Krekeri Snap'd Cheese&Chili CHEEZ IT 120g,"3,99€",2.99
"Gāzēts dzēriens Mojito SCHWEPPES 0,33L D","1,25€",0.69
Šokolādes groziņi Peanut FEASTABLES 40g,"3,69€",2.19
Šokolādes groziņi Hazelnut Cream FEASTABLES 40g,"3,69€",2.19
"Gāzēts dzēriens Wild Berry SCHWEPPES 0,33L D","1,25€",0.69
"Gāzēts dzēriens Citrus Mix SCHWEPPES 0,33L D","1,25€",0.69
"Sulas dzēriens Mango JUMEX 0,46L D","2,29€",1.39
"Sulas dzēriens Ananasu JUMEX 0,46L D","2,29€",1.39
"Sulas dzēriens Persiku JUMEX 0,46L D","2,29€",1.39
Želejas konfektes Fusion Mix CANDY POP 150g,"3,69€",1.79
Želejas konfektes Eyeball Mix CANDY POP 72g,"2,19€",1.19
Uzkodu izlase Speciale AMORETTI 230g,"7,99€",4.99
Saldēti pelmeņi ar kimči BULDAK 700g,"9,99€",6.99
"Gāzēts dzēriens Melons. SANGARIA 0,5L D","2,99€",1.99
Krekeri Snap'd Double Cheese CHEEZ IT 120g,"3,99€",2.99
Krekeri Snap'd Cheese&Chili CHEEZ IT 120g,"3,99€",2.99
"Gāzēts dzēriens Mojito SCHWEPPES 0,33L D","1,25€",0.69
Šokolādes groziņi Peanut FEASTABLES 40g,"3,69€",2.19
Šokolādes groziņi Hazelnut Cream FEASTABLES 40g,"3,69€",2.19
"Gāzēts dzēriens Wild Berry SCHWEPPES 0,33L D","1,25€",0.69
"Gāzēts dzēriens Citrus Mix SCHWEPPES 0,33L D","1,25€",0.69
"Sulas dzēriens Mango JUMEX 0,46L D","2,29€",1.39
"Sulas dzēriens Ananasu JUMEX 0,46L D","2,29€",1.39
"Sulas dzēriens Persiku JUMEX 0,46L D","2,29€",1.39
Želejas konfektes Fusion Mix CANDY POP 150g,"3,69€",1.79
Želejas konfektes Eyeball Mix CANDY POP 72g,"2,19€",1.19
Uzkodu izlase Speciale AMORETTI 230g,"7,99€",4.99
Papīra dvieļi BLOOM Jumbo 2sl.1r.500lap.,"4,70€",2.89
Veļas mazgāš.kapsulas ARIEL Color 70gb,"36,99€",19.99
Zob.pasta SENSODYNE EXTRA WHITENING 75ml,"6,69€",3.99
Zobu pasta PRESIDENT WHITE 75ml,"5,59€",2.59
Matu laka SYOSS Max Hold 300ml,"10,79€",5.99
Starpzobu diegs JORDAN Flosser 3in1 50gb,"3,29€",1.99
Tualetes papīrs ZEWA Moll White 3k. 12r.,"8,49€",4.69
Autiņb.biksīt.PAMPERS S4 9-15kg 52gab.,"19,59€",13.99
Autiņb.biksīt.PAMPERS S5 12-17kg 48gab.,"21,45€",14.99
Autiņb.biksīt.PAMPERS S6 15+ kg 44gab.,"19,59€",13.99
Tualetes bloks BREF CA Eucalyptus 2x50g,"5,49€",3.59
Mutes skal līdz.ELMEX Sensitive 400ml,"10,79€",5.99
Dušas želeja OLD SPICE Whitewater 400ml,"3,79€",3.49
Tualetes bloks BREF CA Eucalyptus 3x50g,"6,99€",4.99
Zobu pasta SPLAT PROFES.SENSITIVE 100ml,"4,99€",2.99
Papīra dvieļi BLOOM Jumbo 2sl.1r.500lap.,"4,70€",2.89
Veļas mazgāš.kapsulas ARIEL Color 70gb,"36,99€",19.99
Zob.pasta SENSODYNE EXTRA WHITENING 75ml,"6,69€",3.99
Zobu pasta PRESIDENT WHITE 75ml,"5,59€",2.59
Matu laka SYOSS Max Hold 300ml,"10,79€",5.99
Starpzobu diegs JORDAN Flosser 3in1 50gb,"3,29€",1.99
Tualetes papīrs ZEWA Moll White 3k. 12r.,"8,49€",4.69
Autiņb.biksīt.PAMPERS S4 9-15kg 52gab.,"19,59€",13.99
Autiņb.biksīt.PAMPERS S5 12-17kg 48gab.,"21,45€",14.99
Autiņb.biksīt.PAMPERS S6 15+ kg 44gab.,"19,59€",13.99
Tualetes bloks BREF CA Eucalyptus 2x50g,"5,49€",3.59
Mutes skal līdz.ELMEX Sensitive 400ml,"10,79€",5.99
Dušas želeja OLD SPICE Whitewater 400ml,"3,79€",3.49
Tualetes bloks BREF CA Eucalyptus 3x50g,"6,99€",4.99
Zobu pasta SPLAT PROFES.SENSITIVE 100ml,"4,99€",2.99
Tual.papīrs ZEWA Exclusive Ultra..4k.8r.,"10,79€",5.99
Traipu tīrīšanas līdz. VANISH Gold 200ml,"6,69€",4.59
Sejas krēms GARNIER ar rožūdeni 50ml,"6,29€",3.79
Tīr.līdz. KVADRO kaļķ. rūsas noņ. 700ml,"4,99€",3.19
Tīr.līdz.cepeškr.grila&plīt.KVADRO 700ml,"5,45€",3.59
Kabatlak.ZEWA Softis Soft Sens.4k.10x9gb,"3,49€",2.29
Ikd.ieliktn.LADY ANION Pantiliner 48gab.,"5,09€",3.49
Kosm.salv.ZEWA Softis Soft Sens.4k.80gb.,"2,89€",1.59
Veļ.mazg.kaps. MAYERI Sensitive 32m.r.,"10,99€",7.99
Tīr. līdz. CIF kaļķakm.noņemš. 435ml,"5,99€",2.39
Tīr. līdz. pelējuma noņemš. CIF 435ml,"5,99€",2.39
Tīr .līdz. plīts&grila virsmām CIF 435ml,"5,99€",2.39
Dezod.vīr.REXONA roll-on Invisible 50ml,"4,79€",2.59
Ikd.ieliktn.LIBRESSE Normal Multi 58gab.,"3,49€",2.49
Mitrais tual.pap. ZEWA Aloe Vera 42gab.,"3,49€",1.99
Tual.papīrs ZEWA Exclusive Ultra..4k.8r.,"10,79€",5.99
Traipu tīrīšanas līdz. VANISH Gold 200ml,"6,69€",4.59
Sejas krēms GARNIER ar rožūdeni 50ml,"6,29€",3.79
Tīr.līdz. KVADRO kaļķ. rūsas noņ. 700ml,"4,99€",3.19
Tīr.līdz.cepeškr.grila&plīt.KVADRO 700ml,"5,45€",3.59
Kabatlak.ZEWA Softis Soft Sens.4k.10x9gb,"3,49€",2.29
Ikd.ieliktn.LADY ANION Pantiliner 48gab.,"5,09€",3.49
Kosm.salv.ZEWA Softis Soft Sens.4k.80gb.,"2,89€",1.59
Veļ.mazg.kaps. MAYERI Sensitive 32m.r.,"10,99€",7.99
Tīr. līdz. CIF kaļķakm.noņemš. 435ml,"5,99€",2.39
Tīr. līdz. pelējuma noņemš. CIF 435ml,"5,99€",2.39
Tīr .līdz. plīts&grila virsmām CIF 435ml,"5,99€",2.39
Dezod.vīr.REXONA roll-on Invisible 50ml,"4,79€",2.59
Ikd.ieliktn.LIBRESSE Normal Multi 58gab.,"3,49€",2.49
Mitrais tual.pap. ZEWA Aloe Vera 42gab.,"3,49€",1.99
"Veļ.mazg.līdz.WOOLITE Pro.. 30m.r.1,8L","10,89€",5.69
"Šķidr.mazgāš.līdz.WOOLITE Delicate 1,8L","10,49€",5.69
Protēžu fiks.krēms COREGA Gum Care 40g,"5,29€",4.99
Šampūns H&S Deep Hydration Coconut 400ml,"9,49€",5.69
Zobu birstes COLGATE Zig-Zag Medium 3gb.,"4,99€",2.99
Dezodorants OLD SPICE Deep Sea zīm.50ml,"3,69€",3.39
Papīra dvieļi ZEWA Jumbo Pr. 3k. 230lap.,"6,69€",3.69
Dezod.NIVEA Men Black&White rull.50ml,"2,99€",2.79
Micelārais ūdens GARNIER Rose 400ml,"9,59€",5.69
Veļas pulv.BEST4HOME Universal 37m.r.3kg,"4,99€",3.99
Veļ.mazg.līdz.BEST4HOME Univ.18m.r.1.5L,"3,39€",2.69
Veļas mīkstin.koncentr.BEST4HOME28m.r.1L,"2,79€",2.19
Šampūns SYOSS Anti Dandruff 440ml,"7,49€",4.49
Šampūns SYOSS Men Power 440ml,"7,49€",4.49
Kondic.GLISS Split Ends Expr.mat.200ml,"7,49€",4.99
"Veļ.mazg.līdz.WOOLITE Pro.. 30m.r.1,8L","10,89€",5.69
"Šķidr.mazgāš.līdz.WOOLITE Delicate 1,8L","10,49€",5.69
Protēžu fiks.krēms COREGA Gum Care 40g,"5,29€",4.99
Šampūns H&S Deep Hydration Coconut 400ml,"9,49€",5.69
Zobu birstes COLGATE Zig-Zag Medium 3gb.,"4,99€",2.99
Dezodorants OLD SPICE Deep Sea zīm.50ml,"3,69€",3.39
Papīra dvieļi ZEWA Jumbo Pr. 3k. 230lap.,"6,69€",3.69
Dezod.NIVEA Men Black&White rull.50ml,"2,99€",2.79
Micelārais ūdens GARNIER Rose 400ml,"9,59€",5.69
Veļas pulv.BEST4HOME Universal 37m.r.3kg,"4,99€",3.99
Veļ.mazg.līdz.BEST4HOME Univ.18m.r.1.5L,"3,39€",2.69
Veļas mīkstin.koncentr.BEST4HOME28m.r.1L,"2,79€",2.19
Šampūns SYOSS Anti Dandruff 440ml,"7,49€",4.49
Šampūns SYOSS Men Power 440ml,"7,49€",4.49
Kondic.GLISS Split Ends Expr.mat.200ml,"7,49€",4.99
Gaisa atsv.AIRWICK Rainy Eucal.&Fr.237ml,"6,49€",3.49
Gaisa atsv.AIRWICK Fr.Dew&Wh.Jasmin237ml,"6,49€",3.49
"Veļ.mazg.līdz.WOOLITE White 30m.r.1,8L","10,49€",5.69
Ziepes DOVE Cream 90g,"1,55€",0.99
Veļas mazg.lap.DR.BECKMANN Univer.25m.r.,"5,99€",4.59
Autiņb.biksīt.PAMPERS S8 19+kg 32gab.,"19,59€",13.99
Tual.bloks KOLORADO Roll Ar.Lemon 2x51g,"2,99€",2.29
Tual.bloks KOLORADO Roll Ar.Flowers2x51g,"2,99€",2.29
Tual.bloks KOLORADO Roll Ar.Lavend.2x51g,"2,99€",2.29
Tualet.ūd.LA RIVE Her Choice siev.100ml,"10,99€",6.99
Tualetes bloks SANO Lavender 55g,"3,19€",2.19
Šampūns DZINTARS Dižciems 200ml,"9,99€",5.99
Veļas mīkstinātājs NEUTRAL Sensitive 1L,"4,39€",2.99
Tīrīšanas līdz.KVADRO universālais 700ml,"3,99€",2.59
Notekcauruļu tīrīš.granulas SANO 200g,"5,59€",3.69
Gaisa atsv.AIRWICK Rainy Eucal.&Fr.237ml,"6,49€",3.49
Gaisa atsv.AIRWICK Fr.Dew&Wh.Jasmin237ml,"6,49€",3.49
"Veļ.mazg.līdz.WOOLITE White 30m.r.1,8L","10,49€",5.69
Ziepes DOVE Cream 90g,"1,55€",0.99
Veļas mazg.lap.DR.BECKMANN Univer.25m.r.,"5,99€",4.59
Autiņb.biksīt.PAMPERS S8 19+kg 32gab.,"19,59€",13.99
Tual.bloks KOLORADO Roll Ar.Lemon 2x51g,"2,99€",2.29
Tual.bloks KOLORADO Roll Ar.Flowers2x51g,"2,99€",2.29
Tual.bloks KOLORADO Roll Ar.Lavend.2x51g,"2,99€",2.29
Tualet.ūd.LA RIVE Her Choice siev.100ml,"10,99€",6.99
Tualetes bloks SANO Lavender 55g,"3,19€",2.19
Šampūns DZINTARS Dižciems 200ml,"9,99€",5.99
Veļas mīkstinātājs NEUTRAL Sensitive 1L,"4,39€",2.99
Tīrīšanas līdz.KVADRO universālais 700ml,"3,99€",2.59
Notekcauruļu tīrīš.granulas SANO 200g,"5,59€",3.69
Tual.bloks skal.tvertnei KOLORADO 2x45g,"2,09€",1.39
Papīra dvieļi ZEWA Premium 2k. 120lap.,"3,99€",1.99
Ķerm.kr.ORGANIC SHOP Lemon Macaron 250ml,"5,49€",3.79
Tr.mazg.maš.kaps.FINISH.Ult.Pl.Lem.62gb.,"39,99€",20.99
Šķīst.tabletes HERB'S Vitamin C 20gab.,"1,99€",1.19
"Veļas mīkst.COCCOLINO Sensit.68m.r.1,7L","8,19€",5.29
"Veļas mīkstin.COCCOLINO Blue 68m.r.1,7L","8,19€",5.29
"Veļas mīkstin.COCCOLINO Lily 68m.r.1,7L","8,19€",5.29
"Veļ.mazg.līdz.PERSIL Lav.Col. 80m.r.3,6L","34,99€",18.99
"Veļas pulveris PERSIL Color 20m.r. 1,1kg","9,99€",6.99
"Veļ.mazg.līdz.PERSIL Regular 88m.r.3,96L","34,99€",18.99
Saimn.ziepes KASTANIS universālas 150g,"1,69€",1.19
Saimn.ziepes KASTANIS Sensitive/Baby150g,"1,69€",1.19
Veļ.mazg.kaps.PERSIL Discs Col. 13m.r.,"9,99€",6.49
Veļas mazg.līdz.PERWOLL Color 20m.r.1L,"8,69€",4.99
Tual.bloks skal.tvertnei KOLORADO 2x45g,"2,09€",1.39
Papīra dvieļi ZEWA Premium 2k. 120lap.,"3,99€",1.99
Ķerm.kr.ORGANIC SHOP Lemon Macaron 250ml,"5,49€",3.79
Tr.mazg.maš.kaps.FINISH.Ult.Pl.Lem.62gb.,"39,99€",20.99
Šķīst.tabletes HERB'S Vitamin C 20gab.,"1,99€",1.19
"Veļas mīkst.COCCOLINO Sensit.68m.r.1,7L","8,19€",5.29
"Veļas mīkstin.COCCOLINO Blue 68m.r.1,7L","8,19€",5.29
"Veļas mīkstin.COCCOLINO Lily 68m.r.1,7L","8,19€",5.29
"Veļ.mazg.līdz.PERSIL Lav.Col. 80m.r.3,6L","34,99€",18.99
"Veļas pulveris PERSIL Color 20m.r. 1,1kg","9,99€",6.99
"Veļ.mazg.līdz.PERSIL Regular 88m.r.3,96L","34,99€",18.99
Saimn.ziepes KASTANIS universālas 150g,"1,69€",1.19
Saimn.ziepes KASTANIS Sensitive/Baby150g,"1,69€",1.19
Veļ.mazg.kaps.PERSIL Discs Col. 13m.r.,"9,99€",6.49
Veļas mazg.līdz.PERWOLL Color 20m.r.1L,"8,69€",4.99
Tīr.putas THE PINK STUFF vannasist.750ml,"3,99€",2.59
Dušas želeja DOVE Hydrate 450ml,"6,89€",3.99
Tual.tīrīš.putas DOMESTOS Citrus 435ml,"5,99€",2.99
Tr.mazg.kaps.FAIRY Plat.Plus Lem. 40gab.,"28,99€",12.99
Gaisa atsv.AMBI PUR Gold Orchid 185ml,"6,49€",3.99
"Šķ.veļas mazg.līdz.NEUTRAL Colour 1,95L","11,85€",9.99
Tr.mazg.kaps.FAIRY Platinum Lem.51gab.,"28,99€",12.69
Tual.papīrs BLOOM Comfort Orange 3k.16r.,"6,61€",4.69
Kaps.tr.m.maš. SOMAT Exc.Prem.5in1 42gb.,"31,99€",16.99
Uztura bagātināt.Kolagēna peptīdi 300g,"21,99€",11.99
Veļ.mazg.kaps.PERSIL Discs Reg. 13m.r.,"9,99€",6.49
Tual.atsv.DOMESTOS Pow.5 Lime 3x50g,"6,29€",3.39
Tual.atsv.DOMESTOS Pow.5 Ocean 3x50g,"6,29€",3.39
Matu maska AUSSIE SOS Hydration 500ml,"14,99€",8.99
Kondicionier.PANTENE Thick&Strong 275ml,"6,79€",3.99
Tīr.putas THE PINK STUFF vannasist.750ml,"3,99€",2.59
Dušas želeja DOVE Hydrate 450ml,"6,89€",3.99
Tual.tīrīš.putas DOMESTOS Citrus 435ml,"5,99€",2.99
Tr.mazg.kaps.FAIRY Plat.Plus Lem. 40gab.,"28,99€",12.99
Gaisa atsv.AMBI PUR Gold Orchid 185ml,"6,49€",3.99
"Šķ.veļas mazg.līdz.NEUTRAL Colour 1,95L","11,85€",9.99
Tr.mazg.kaps.FAIRY Platinum Lem.51gab.,"28,99€",12.69
Tual.papīrs BLOOM Comfort Orange 3k.16r.,"6,61€",4.69
Kaps.tr.m.maš. SOMAT Exc.Prem.5in1 42gb.,"31,99€",16.99
Uztura bagātināt.Kolagēna peptīdi 300g,"21,99€",11.99
Veļ.mazg.kaps.PERSIL Discs Reg. 13m.r.,"9,99€",6.49
Tual.atsv.DOMESTOS Pow.5 Lime 3x50g,"6,29€",3.39
Tual.atsv.DOMESTOS Pow.5 Ocean 3x50g,"6,29€",3.39
Matu maska AUSSIE SOS Hydration 500ml,"14,99€",8.99
Kondicionier.PANTENE Thick&Strong 275ml,"6,79€",3.99
Lūpu maska ​​LANEIGE Apple Lime 20g,"22,99€",14.99
Lūpu maska ​​LANEIGE Grapefruit 20g,"22,99€",14.99
Sejas krēms BIO2YOU smiltsērkšķu 50ml,"10,99€",5.99
Sej.serums BIO2YOU ar hialuronskābi 50ml,"10,99€",5.99
Dezodor.REXONA Aloe Vera zīm.siev.50ml,"4,79€",2.59
Tr.mazg.maš.kaps.SOMAT Excell.4in1 30gab,"14,99€",9.99
Mitrās salvet.PAMPERS Sensitive 4x52gab.,"9,19€",6.39
Veļas mazgāš.kaps.ARIEL Extra Clean 60gb,"33,62€",19.99
"Veļas mazg.līdz.ARIEL Color 70m.r. 3,15L","31,99€",17.99
"Veļas mazg.līdz.ARIEL MSpr. 70m.r. 3,15L","31,99€",17.99
"Veļ.mīkst.LENOR Lotus Flow. 59m.r.1,239L","8,79€",5.59
"Veļas mīkst.LENOR Spring 71m.r. 1,491L","8,79€",5.59
Smaržu gran.LENOR Gold Orchid 22m.r.270g,"10,39€",6.99
"Veļ.mīkst.LENOR Gold Orchid 59m.r.1,239L","8,79€",5.59
Sejas maskas BIODANCE Collagen 34gx4gb,"24,49€",16.99
Lūpu maska ​​LANEIGE Apple Lime 20g,"22,99€",14.99
Lūpu maska ​​LANEIGE Grapefruit 20g,"22,99€",14.99
Sejas krēms BIO2YOU smiltsērkšķu 50ml,"10,99€",5.99
Sej.serums BIO2YOU ar hialuronskābi 50ml,"10,99€",5.99
Dezodor.REXONA Aloe Vera zīm.siev.50ml,"4,79€",2.59
Tr.mazg.maš.kaps.SOMAT Excell.4in1 30gab,"14,99€",9.99
Mitrās salvet.PAMPERS Sensitive 4x52gab.,"9,19€",6.39
Veļas mazgāš.kaps.ARIEL Extra Clean 60gb,"33,62€",19.99
"Veļas mazg.līdz.ARIEL Color 70m.r. 3,15L","31,99€",17.99
"Veļas mazg.līdz.ARIEL MSpr. 70m.r. 3,15L","31,99€",17.99
"Veļ.mīkst.LENOR Lotus Flow. 59m.r.1,239L","8,79€",5.59
"Veļas mīkst.LENOR Spring 71m.r. 1,491L","8,79€",5.59
Smaržu gran.LENOR Gold Orchid 22m.r.270g,"10,39€",6.99
"Veļ.mīkst.LENOR Gold Orchid 59m.r.1,239L","8,79€",5.59
Sejas maskas BIODANCE Collagen 34gx4gb,"24,49€",16.99
Hig.tamponi TAMPAX COMPAK SUPER 16gab.,"5,69€",3.99
Zobu birste JORDAN STEP1 0–2gadiem,"3,29€",1.99
Vienr.skuvekļi BIC 3 SENSITIVE 4gab.,"3,49€",1.99
Vienr.skuvekļi BIC Twin Lady 5gab.,"3,39€",1.99
Dezod.NIVEA PEARL&BEAUTY rull.siev.50ml,"2,99€",2.79
Hig.paketes NATURELLA ULTRA NOR.+ 20gab.,"4,69€",2.99
Lubrikants DUREX PLAY AL.VERA 2in1 200ml,"12,49€",7.99
Tualetes bloks SANO Sanobon Blue 55g,"3,19€",2.19
Tual.tīr.līdz.HARPIC Pow.Plus Orig.750ml,"4,89€",2.39
Tual.tīr.līdz. DOMESTOS Atlantic 750ml,"3,59€",1.79
Skūš.aparāts GILLETTE Fusion +2kasetes,"11,99€",10.99
Skūš.kasetes GILLETTE Fusion 4gab.,"14,49€",13.99
Dušas želeja FA YOGHURT ALOE VERA 400ml,"5,29€",2.99
"Trauku mazg.līdz.maš. FINISH sāls 1,5kg","5,59€",3.49
Šampūns H&S CLASSIC CLEAN 400ml,"5,29€",4.99
Hig.tamponi TAMPAX COMPAK SUPER 16gab.,"5,69€",3.99
Zobu birste JORDAN STEP1 0–2gadiem,"3,29€",1.99
Vienr.skuvekļi BIC 3 SENSITIVE 4gab.,"3,49€",1.99
Vienr.skuvekļi BIC Twin Lady 5gab.,"3,39€",1.99
Dezod.NIVEA PEARL&BEAUTY rull.siev.50ml,"2,99€",2.79
Hig.paketes NATURELLA ULTRA NOR.+ 20gab.,"4,69€",2.99
Lubrikants DUREX PLAY AL.VERA 2in1 200ml,"12,49€",7.99
Tualetes bloks SANO Sanobon Blue 55g,"3,19€",2.19
Tual.tīr.līdz.HARPIC Pow.Plus Orig.750ml,"4,89€",2.39
Tual.tīr.līdz. DOMESTOS Atlantic 750ml,"3,59€",1.79
Skūš.aparāts GILLETTE Fusion +2kasetes,"11,99€",10.99
Skūš.kasetes GILLETTE Fusion 4gab.,"14,49€",13.99
Dušas želeja FA YOGHURT ALOE VERA 400ml,"5,29€",2.99
"Trauku mazg.līdz.maš. FINISH sāls 1,5kg","5,59€",3.49
Šampūns H&S CLASSIC CLEAN 400ml,"5,29€",4.99
Tabletes COREGA protēžu tīrīšanai 30gab.,"4,29€",3.99
Šampūns NIVEA POWER pretbl.vīr.250ml,"4,99€",2.99
Gaisa ats.rez.AIRWICK FM Moon Lily.250ml,"8,59€",5.99
Zobu birste JORDAN Clean Between Soft,"3,39€",1.99
Dezod.NIVEA BLACK&WHITE PURE siev.50ml,"2,99€",2.79
Uroloģ.ieliktņi SENI LADY Super 15gab.,"4,99€",3.79
Zobu birste JORDAN 3-5g.1gab.,"3,29€",1.99
Trauku mazg.līdz.PUR Aloe Vera 450ml,"2,35€",1.69
Trauku mazg.līdz.PUR Hands&Nails 450ml,"2,35€",1.69
Mutes skal.līdz. LISTERINE Coolmint 1L,"6,29€",5.99
Losj.pēc skūš.OLD SPICE Whitewater 100ml,"10,29€",6.49
Zobu pasta SENSODYNE REPAIR&PROTECT 75ml,"8,99€",5.39
Vienr.skuvek.WILKINSON XTREME SENS.4gab.,"4,89€",2.89
Šampūns H&S APPLE FRESH 400ml,"5,29€",4.99
Tual.tīr.līdz.HARPIC Power+Hygien. 750ml,"4,89€",2.59
Tabletes COREGA protēžu tīrīšanai 30gab.,"4,29€",3.99
Šampūns NIVEA POWER pretbl.vīr.250ml,"4,99€",2.99
Gaisa ats.rez.AIRWICK FM Moon Lily.250ml,"8,59€",5.99
Zobu birste JORDAN Clean Between Soft,"3,39€",1.99
Dezod.NIVEA BLACK&WHITE PURE siev.50ml,"2,99€",2.79
Uroloģ.ieliktņi SENI LADY Super 15gab.,"4,99€",3.79
Zobu birste JORDAN 3-5g.1gab.,"3,29€",1.99
Trauku mazg.līdz.PUR Aloe Vera 450ml,"2,35€",1.69
Trauku mazg.līdz.PUR Hands&Nails 450ml,"2,35€",1.69
Mutes skal.līdz. LISTERINE Coolmint 1L,"6,29€",5.99
Losj.pēc skūš.OLD SPICE Whitewater 100ml,"10,29€",6.49
Zobu pasta SENSODYNE REPAIR&PROTECT 75ml,"8,99€",5.39
Vienr.skuvek.WILKINSON XTREME SENS.4gab.,"4,89€",2.89
Šampūns H&S APPLE FRESH 400ml,"5,29€",4.99
Tual.tīr.līdz.HARPIC Power+Hygien. 750ml,"4,89€",2.59
Tual.tīr.līdz. DOMESTOS Lime 700ml,"4,35€",1.99
Zobu pasta ELMEX JUNIOR 6-12 gadi 75ml,"5,69€",3.99
Tīrīšanas līdz.CILLIT BANG Limesc. 750ml,"8,19€",3.99
Ikd.ieliktn.LADY ANION Dayliner 16gab.,"3,39€",2.29
Tīrīšanas līdz.CILLIT BANG Grease..750ML,"8,19€",3.99
Tīr.līdz.CILLIT BANG BLEACH&HYG. 750ML,"8,19€",3.99
Sausais šampūns BATISTE Original 200ml,"3,99€",3.49
Dezodor. OLD SPICE ORIGINAL zīm. 50ml,"3,69€",3.39
Dezodor. OLD SPICE WHITEWATER zīm. 50ml,"3,69€",3.39
Trauku mazg.žel.SOMAT Excellence 540ml,"17,99€",10.99
Trauku mazg.līdz.FAIRY Pure&Clean 900ml,"4,99€",2.99
Šampūns NIVEA CARE EXPRESS 2IN1 250ml,"5,39€",2.99
Ikdienas ieliktnīši DISCREET Air 100gab.,"5,89€",4.39
Hig.pak.ALWAYS Ultra Super Night 10gab.,"4,99€",2.99
Hig.pak.ALWAYS ULT.DUO EX.NIG.PR.12gab.,"4,99€",2.99
Tual.tīr.līdz. DOMESTOS Lime 700ml,"4,35€",1.99
Zobu pasta ELMEX JUNIOR 6-12 gadi 75ml,"5,69€",3.99
Tīrīšanas līdz.CILLIT BANG Limesc. 750ml,"8,19€",3.99
Ikd.ieliktn.LADY ANION Dayliner 16gab.,"3,39€",2.29
Tīrīšanas līdz.CILLIT BANG Grease..750ML,"8,19€",3.99
Tīr.līdz.CILLIT BANG BLEACH&HYG. 750ML,"8,19€",3.99
Sausais šampūns BATISTE Original 200ml,"3,99€",3.49
Dezodor. OLD SPICE ORIGINAL zīm. 50ml,"3,69€",3.39
Dezodor. OLD SPICE WHITEWATER zīm. 50ml,"3,69€",3.39
Trauku mazg.žel.SOMAT Excellence 540ml,"17,99€",10.99
Trauku mazg.līdz.FAIRY Pure&Clean 900ml,"4,99€",2.99
Šampūns NIVEA CARE EXPRESS 2IN1 250ml,"5,39€",2.99
Ikdienas ieliktnīši DISCREET Air 100gab.,"5,89€",4.39
Hig.pak.ALWAYS Ultra Super Night 10gab.,"4,99€",2.99
Hig.pak.ALWAYS ULT.DUO EX.NIG.PR.12gab.,"4,99€",2.99
"Graudainais biezpiens FARM MILK, 500 g, 5%",N/A,1.36
"Biezpiena sieriņš MIO&RIO zemeņu, 35 g",N/A,0.19
"Biezpiena sieriņš MIO&RIO šokolādes, 35 g",N/A,0.19
"Biezpiena sieriņš MIO&RIO vaniļas, 35 g",N/A,0.19
"Siers Mozzarella FARM MILK, 125 g, 45%",N/A,0.87
"Kausētais siers FARM MILK, 150 g",N/A,1.25
"Piens FARM MILK UHT, 1 l, 3,2%",N/A,0.95
"Piens FARM MILK UHT, 1 l, 2%",N/A,0.89
"Piens FARM MILK UHT, 1 l, 0,5%",N/A,0.96
"Saldais krējums FARM MILK UHT, 500 ml, 10%",N/A,1.18
"Saldais krējums FARM MILK UHT, 1 iepak./10 gab, 10 ml, 10%",N/A,0.38
"Siers HOLANDES FARM MILK šķēlēs, 150 g, 45%",N/A,1.39
"Siers HOLANDES FARM MILK, 250 g, 45%",N/A,2.29
"Siers GOUDA FARM MILK šķēlēs, 500 g, 45%",N/A,3.99
"Siers TILSIT FARM MILK šķēlēs, 150 g, 45%",N/A,1.39
"Graudainais biezpiens FARM MILK, 500 g, 5%",N/A,1.36
"Biezpiena sieriņš MIO&RIO zemeņu, 35 g",N/A,0.19
"Biezpiena sieriņš MIO&RIO šokolādes, 35 g",N/A,0.19
"Biezpiena sieriņš MIO&RIO vaniļas, 35 g",N/A,0.19
"Siers Mozzarella FARM MILK, 125 g, 45%",N/A,0.87
"Kausētais siers FARM MILK, 150 g",N/A,1.25
"Piens FARM MILK UHT, 1 l, 3,2%",N/A,0.95
"Piens FARM MILK UHT, 1 l, 2%",N/A,0.89
"Piens FARM MILK UHT, 1 l, 0,5%",N/A,0.96
"Saldais krējums FARM MILK UHT, 500 ml, 10%",N/A,1.18
"Saldais krējums FARM MILK UHT, 1 iepak./10 gab, 10 ml, 10%",N/A,0.38
"Siers HOLANDES FARM MILK šķēlēs, 150 g, 45%",N/A,1.39
"Siers HOLANDES FARM MILK, 250 g, 45%",N/A,2.29
"Siers GOUDA FARM MILK šķēlēs, 500 g, 45%",N/A,3.99
"Siers TILSIT FARM MILK šķēlēs, 150 g, 45%",N/A,1.39
"Karsti kūpināta cūkgaļas krūtiņa PORMET, fas.",N/A,7.99
"Cepts viltotais zaķis PORMET, 500 g",N/A,1.79
"Vītināta desa PORMET, 200 g",N/A,1.99
"Vistas gaļas hamburgeri PORMET, 250 g",N/A,0.81
"Cāļu aknu pastēte, 300 g, vārīta",N/A,0.89
"Tuncis smalcināts savā sulā OCEAN, 185 g",N/A,0.87
"Krabju garšas nūjiņas OCEAN, 300 g, atdzesētas",N/A,2.19
"Siļķu fileja ar dūmu garšu eļļā OCEAN, 220 g",N/A,0.99
"Siļķu fileja eļļā Tradicionālā OCEAN, 220 g",N/A,0.99
